enr no,DS,DBMS,FOC-1,DL
1,27,26,26,17
2,24,36,36,28
3,25,26,19,AB
4,21,25,19,10
5,35,39,36,29
6,22,34,35,10
7,0,0,0,0
8,29,29,29,20
9,28,31,29,20
10,30,32,27,25
11,30,34,29,13
12,28,33,33,22
13,30,32,31,22
14,36,39,38,24
15,34,35,35,21
16,26,27,26,18
17,27,29,29,21
18,26,29,32,20
19,25,20,19,18
20,29,32,27,19
21,17,28,23,11
22,26,28,25,9
23,25,30,25,11
24,0,0,0,0
25,0,0,0,0
26,28,25,22,19
27,29,34,31,16
28,31,32,28,21
29,34,36,31,28
30,AB,AB,AB,AB
31,29,34,30,22
32,21,32,21,16
33,AB,AB,AB,AB
34,27,34,26,17
35,0,0,AB,AB
36,18,27,20,16
37,19,25,20,12
38,30,33,31,24
39,19,31,24,9
40,20,33,30,16
41,6,24,12,8
42,24,27,24,13
43,20,28,22,11
44,16,26,18,13
45,17,28,22,16
46,18,31,25,16
47,16,31,19,9
48,AB,32,AB,17
49,6,0,AB,AB
50,16,27,21,11
51,0,0,0,0
52,26,31,34,20
53,16,22,20,8
54,16,19,21,11
55,11,28,21,8
56,17,29,26,20
57,19,32,29,18
58,16,26,18,13
59,29,32,35,20
60,6,25,20,7
61,0,0,0,0
62,28,36,37,27
63,22,26,28,20
64,22,26,18,AB
65,26,35,29,17
66,26,28,25,20
67,22,26,23,24
68,28,35,30,23
69,19,30,19,19
70,24,28,21,17
71,27,35,31,22
72,24,20,19,16
73,AB,AB,AB,AB
74,AB,AB,AB,AB
75,27,27,20,16
76,24,32,22,21
77,AB,AB,AB,AB
78,25,34,23,19
79,AB,AB,AB,AB
80,23,23,20,16
81,25,29,20,16
82,33,37,38,18
83,20,23,21,12
84,17,27,16,6
85,32,39,29,23
86,31,38,33,19
87,AB,AB,AB,AB
88,26,32,22,18
89,0,0,0,0
90,26,33,30,25
91,27,32,22,12
92,27,26,25,18
93,26,32,26,23
94,18,16,20,10
95,35,40,36,35
96,AB,AB,AB,AB
97,AB,AB,AB,AB
98,30,35,23,19
99,27,37,32,18
100,26,31,22,17
101,35,40,38,39
102,24,21,16,12
103,18,5,AB,AB
104,25,16,24,16
105,32,39,38,37
106,0,0,0,0
107,23,25,22,16
108,22,27,18,9
109,20,13,16,11
110,0,0,0,0
111,28,35,35,26
112,26,39,35,25
113,22,20,20,18
114,20,13,16,11
115,22,25,23,19
116,19,15,12,11
117,25,36,27,22
118,AB,AB,AB,AB
119,19,28,20,19
120,AB,AB,AB,AB
121,24,22,21,12
122,23,28,18,13
123,23,27,22,25
124,0,0,0,0
125,0,0,0,0
126,19,25,18,12
127,0,0,0,0
128,AB,AB,AB,AB
129,25,28,30,21
130,19,25,16,10
